date,metrics,Close,count,filter_count
2020-02-27,3.0342049902974103e-07,8784.494141,12504,5326
2020-02-28,-4.844123108396184e-07,8672.455078,11948,4596
2020-02-29,1.3418253277684928e-06,8599.508789,9152,3704
2020-03-01,-7.10138051272538e-06,8562.454102,8751,3441
2020-03-02,5.5853598687279075e-06,8869.669922,10940,4900
2020-03-03,7.354911088472151e-07,8787.786133,11029,5013
2020-03-04,1.396390482468098e-06,8755.246094,12258,5548
2020-03-05,4.2650338904660807e-07,9078.762695,12529,5529
2020-03-06,9.155528083376097e-07,9122.545898,10872,4771
2020-03-07,2.0854046743265174e-06,8909.954102,9215,4136
2020-03-08,-5.1825999058073055e-06,8108.116211,9690,3961
2020-03-09,-2.822245008373913e-06,7923.644531,13959,6449
2020-03-10,-1.3732916715379413e-06,7909.729492,11542,5309
2020-03-11,1.1176357699579244e-05,7911.430176,10950,4989
2020-03-12,7.130288039723301e-07,4970.788086,20266,8875
2020-03-13,-7.676748701142823e-06,5563.707031,21172,8852
2020-03-14,-1.587051740557544e-05,5200.366211,11478,4531
2020-03-15,-1.6056658369943666e-06,5392.314941,10349,4418
2020-03-16,1.025491630737907e-05,5014.47998,13247,6015
2020-03-17,2.1062896578187274e-06,5225.629395,11803,5260
2020-03-18,1.8284291254997723e-05,5238.438477,11963,5527
2020-03-19,-1.0278881486845433e-05,6191.192871,12797,5786
2020-03-20,1.3667082485523028e-06,6198.77832,12920,5703
2020-03-21,1.523283525151224e-05,6185.066406,9774,4264
2020-03-22,2.5028004730303837e-07,5830.254883,9226,4057
2020-03-23,1.4645902520757806e-06,6416.314941,12094,5570
2020-03-24,1.2302412003618217e-05,6734.803711,11567,5088
2020-03-25,-3.8956488348514276e-07,6681.062988,11257,4807
2020-03-26,-9.881542584572799e-06,6716.44043,11477,4746
2020-03-27,1.7661123692749725e-06,6469.79834,10973,4762
2020-03-28,5.491747030967449e-07,6242.193848,9579,3809
2020-03-29,-8.434336629535857e-06,5922.042969,9114,3782
2020-03-30,1.4383033638150709e-06,6429.841797,11157,4853
2020-03-31,7.312737005806359e-07,6438.644531,10907,4562
2020-04-01,-5.24299850909305e-07,6606.776367,11455,4921
2020-04-02,3.787296077260535e-06,6793.624512,12047,5239
2020-04-03,1.7879482811787267e-06,6733.387207,12467,5039
2020-04-04,4.1683892058739e-07,6867.527344,9994,3980
2020-04-05,-8.929921918458678e-07,6791.129395,10012,3697
2020-04-06,-1.7353821487506507e-05,7271.78125,12486,5091
2020-04-07,1.722815657773346e-05,7176.414551,12234,5232
2020-04-08,7.628679763834554e-06,7334.098633,11389,4720
2020-04-09,-4.9738669609600495e-06,7302.089355,11637,5175
2020-04-10,2.905213682120436e-06,6865.493164,11882,5064
2020-04-11,5.023445970081944e-06,6859.083008,9418,3619
2020-04-12,1.8561334184516313e-05,6971.091797,9719,3845
2020-04-13,8.088855236570642e-07,6845.037598,11630,4968
2020-04-14,2.71990853220563e-06,6842.427734,11762,5026
2020-04-15,2.5237997121171985e-06,6642.109863,11577,4890
2020-04-16,8.112051714981201e-07,7116.804199,12160,5212
2020-04-17,3.485760715340608e-06,7096.18457,11135,4724
2020-04-18,2.4652689980651384e-06,7257.665039,10435,4480
2020-04-19,2.950028338048979e-06,7189.424805,9828,4120
2020-04-20,-7.87004428318759e-06,6881.958496,12814,5643
2020-04-21,8.677238265024827e-07,6880.323242,12672,5464
2020-04-22,6.634674613291435e-06,7117.20752,11691,4903
2020-04-23,-2.672483849645313e-06,7429.724609,13538,5805
2020-04-24,2.7531014004942117e-07,7550.900879,12846,5633
2020-04-25,9.529702205407666e-07,7569.936035,10537,4409
2020-04-26,7.342720021883974e-06,7679.867188,10506,4335
2020-04-27,1.4631086550293717e-07,7795.601074,12773,5423
2020-04-28,4.163717358357448e-06,7807.058594,12585,5431
2020-04-29,2.0925233537766083e-06,8801.038086,17450,7221
2020-04-30,5.726063000390798e-06,8658.553711,17219,7463
2020-05-01,-7.011396782715249e-06,8864.766602,14227,6157
2020-05-02,3.679872800596806e-07,8988.59668,11681,4825
2020-05-03,8.078710490331227e-07,8897.46875,11248,4557
2020-05-04,1.0708304442129692e-06,8912.654297,13718,5644
2020-05-05,1.153079073453384e-06,9003.070313,16726,6282
2020-05-06,5.373469993553226e-07,9268.761719,15957,6544
2020-05-07,1.5673651955234014e-06,9951.518555,19861,8120
2020-05-08,3.091656070361142e-06,9842.666016,19104,7889
2020-05-09,3.948210168698774e-07,9593.896484,13415,5400
2020-05-10,1.5439053230511206e-08,8756.430664,15345,5840
2020-05-11,2.228162420929629e-06,8601.795898,25602,8730
2020-05-12,3.535107870191461e-06,8804.477539,16892,6744
2020-05-13,9.492645134449158e-06,9269.987305,14641,6306
2020-05-14,5.6823749170765166e-05,9733.72168,15409,6713
2020-05-15,8.25172488488757e-08,9328.197266,14706,6203
2020-05-16,8.663084281554201e-07,9377.013672,13501,5039
2020-05-17,1.4537153333089527e-06,9670.739258,11878,4813
2020-05-18,-2.751867835306261e-06,9726.575195,14054,5880
2020-05-19,1.325997128744346e-05,9729.038086,13707,5944
2020-05-20,-7.667757261240844e-07,9522.981445,14925,6433
2020-05-21,2.5624894562637257e-06,9081.761719,14102,5875
2020-05-22,2.966219393522063e-06,9182.577148,14800,5796
2020-05-23,1.7817482040649136e-06,9209.287109,10841,4155
2020-05-24,-2.402868047799478e-07,8790.368164,10985,4295
2020-05-25,-4.911173321702791e-08,8906.93457,12647,5197
2020-05-26,9.897093792017608e-07,8835.052734,13240,5382
2020-05-27,-5.159120632450182e-06,9181.017578,13833,5984
2020-05-28,4.716583514169769e-06,9525.750977,14422,6284
2020-05-29,2.9138396346783062e-05,9439.124023,12811,5571
2020-05-30,7.913950097488269e-05,9700.414063,10642,4436
2020-05-31,-5.589085662617514e-05,9461.058594,10149,4008
2020-06-01,-1.1478782171511436e-05,10167.268555,13801,5826
2020-06-02,5.159298579339965e-07,9529.803711,16615,6899
2020-06-03,4.864840611882386e-06,9656.717773,13691,5843
2020-06-04,1.0854994163017112e-05,9800.636719,13804,6027
2020-06-05,-1.0432042717086894e-07,9665.533203,13144,5598
2020-06-06,3.602925022409281e-06,9653.679688,10944,4652
2020-06-07,-2.6763420334552713e-06,9758.852539,11281,4589
2020-06-08,4.066617870351975e-06,9771.489258,12638,5370
2020-06-09,3.4705619902563052e-06,9795.700195,13657,5624
2020-06-10,-1.8111437467670379e-06,9870.094727,14523,6422
2020-06-11,8.265049162111669e-07,9321.78125,14421,6193
2020-06-12,-5.083537129274673e-07,9480.84375,12848,5602
2020-06-13,-1.0166382547072337e-07,9475.277344,10922,4489
2020-06-14,1.8461066978154365e-05,9386.788086,10903,4444
2020-06-15,1.7373277432031873e-06,9450.702148,13169,5910
2020-06-16,-5.5933734849768505e-06,9538.024414,12894,5850
2020-06-17,1.8421317543944475e-06,9480.254883,12433,5320
2020-06-18,-1.6146068186547073e-06,9411.84082,12618,5403
2020-06-19,7.141787063774335e-07,9288.018555,11999,5250
2020-06-20,-1.799558867679081e-06,9332.34082,10583,4248
2020-06-21,1.0810291299698593e-06,9303.629883,10348,3956
2020-06-22,-1.0611481987958655e-05,9648.717773,13157,5627
2020-06-23,5.593264584826101e-07,9629.658203,13429,5585
2020-06-24,8.434593790672845e-07,9313.610352,12846,5511
2020-06-25,1.8290042554285267e-06,9264.813477,12920,5274
2020-06-26,1.0007221052181017e-06,9162.917969,12257,5180
2020-06-27,2.1514817537928077e-07,9045.390625,10641,4165
2020-06-28,9.274623026055472e-07,9143.582031,11068,3935
2020-06-29,5.472920607441889e-07,9190.854492,13313,5135
2020-06-30,-7.6229814039317355e-06,9137.993164,14679,5296
2020-07-01,-1.4018683752421715e-07,9228.325195,14927,5274
2020-07-02,8.28778763614025e-07,9123.410156,14797,5699
2020-07-03,1.841117887355363e-06,9087.303711,13507,4678
2020-07-04,9.906547133847815e-07,9132.488281,10965,3733
2020-07-05,1.0136287948347298e-05,9073.942383,11010,3833
2020-07-06,-5.014613527866881e-07,9375.474609,14561,5466
2020-07-07,1.194392293051796e-06,9252.277344,13347,5196
2020-07-08,1.9962344348133424e-06,9428.333008,14100,5386
2020-07-09,3.7468894353885615e-06,9277.967773,13654,5247
2020-07-10,1.8368875111888685e-06,9278.807617,13364,5271
2020-07-11,-4.2065149617785397e-05,9240.34668,11292,4131
2020-07-12,-1.125965555056327e-06,9276.5,11255,3994
2020-07-13,-2.806040710134555e-05,9243.614258,121,1070
2020-07-14,4.707411975803563e-06,9243.213867,14221,5259
2020-07-15,-7.180118687891715e-06,9192.836914,34836,8195
2020-07-16,-2.451433302571958e-07,9132.227539,31162,7837
2020-07-17,-4.030378008183417e-06,9151.392578,16171,5134
2020-07-18,2.2726100016389534e-05,9159.040039,12666,4079
2020-07-19,-9.78662994801029e-06,9185.817383,11855,3945
2020-07-20,2.9797007492461064e-06,9164.231445,13341,5105
2020-07-21,1.5116360642578923e-05,9374.887695,13799,5171
2020-07-22,5.098249567182544e-06,9525.363281,13868,5286
2020-07-23,1.1829304193574562e-06,9581.072266,14789,5801
2020-07-24,1.403367925373839e-06,9536.892578,14449,5385
2020-07-25,9.828566513312758e-07,9677.113281,13556,4632
2020-07-26,1.8731648761652582e-06,9905.166992,13616,5006
2020-07-27,6.223696993068934e-06,10990.873047,23112,8354
2020-07-28,1.7108560773551703e-06,10912.823242,19554,7306
2020-07-29,-1.1097116414299714e-07,11100.467773,15611,5850
2020-07-30,-3.0191398117193645e-06,11111.213867,14712,5716
2020-07-31,-7.098119700719101e-06,11323.466797,15734,5927
2020-08-01,-1.8626411008601408e-06,11759.592773,15426,5779
2020-08-02,1.1023908912252016e-05,11053.614258,16768,5836
2020-08-03,-4.320268507260647e-06,11246.348633,14221,5580
2020-08-04,-1.0248406030640305e-05,11205.892578,14186,5472
2020-08-05,2.0645468750026103e-06,11747.022461,15238,5879
2020-08-06,-1.069205127288235e-06,11779.773438,15436,5986
2020-08-07,1.595950768821356e-06,11601.472656,15433,5434
2020-08-08,4.706933682943504e-06,11754.045898,12770,4366
2020-08-09,6.142901695339579e-07,11675.739258,13088,4103
2020-08-10,5.287098042558494e-06,11878.111328,16777,5942
2020-08-11,2.45081231177024e-06,11410.525391,16856,6038
2020-08-12,1.2121716553567665e-06,11584.93457,15879,5613
2020-08-13,-3.544884124059926e-06,11784.137695,14832,5492
2020-08-14,3.332264824854158e-06,11768.871094,14755,5141
2020-08-15,3.3655333720456006e-06,11865.698242,13397,4718
2020-08-16,3.088075935451135e-06,11892.803711,12530,4226
2020-08-17,2.1282827058110795e-08,12254.402344,17573,6648
2020-08-18,4.497841445063847e-06,11991.233398,16205,6024
2020-08-19,1.076253618469157e-05,11758.283203,14694,5626
2020-08-20,-4.76504770313763e-06,11878.37207,14366,5745
2020-08-21,1.2613542273690262e-06,11592.489258,15818,5547
2020-08-22,1.636726292417596e-05,11681.825195,12588,4230
2020-08-23,-1.8860982780793775e-07,11664.847656,12855,4045
2020-08-24,-9.306649572886918e-06,11774.595703,14987,5434
2020-08-25,-4.449027406466961e-06,11366.134766,15136,5450
2020-08-26,1.0630466205484624e-05,11488.363281,14038,5089
2020-08-27,-6.64368134947418e-07,11323.397461,15245,5629
2020-08-28,1.3408845298874068e-06,11542.5,15441,5428
2020-08-29,2.520769689811664e-06,11506.865234,12253,4164
2020-08-30,1.1914238556997453e-06,11711.505859,10644,3806
2020-08-31,-2.8922711967857357e-06,11680.820313,13523,5208
2020-09-01,3.5599112719039382e-06,11970.478516,14402,5590
2020-09-02,-4.293236696899378e-06,11414.03418,15168,5230
2020-09-03,-2.5154243848966206e-07,10245.296875,15402,5691
2020-09-04,5.849265060491062e-07,10511.813477,15118,5637
2020-09-05,8.377379135380908e-07,10169.567383,12410,4527
2020-09-06,6.101328103726833e-07,10280.351563,10777,3990
2020-09-07,-2.891331343101532e-06,10369.563477,12684,4918
2020-09-08,6.754421018370772e-07,10131.516602,15484,5586
2020-09-09,1.0338042105616345e-06,10242.347656,15472,5347
2020-09-10,7.973301201528645e-07,10363.138672,14072,5294
2020-09-11,7.948444305485083e-07,10400.915039,13214,5150
2020-09-12,2.947199789724054e-06,10442.170898,11161,4043
