date,metrics,Close,count,filter_count
2020-02-04,-2.2403254234564074e-05,9180.962891,12110,5169
2020-02-05,2.2689451233880037e-06,9613.423828,12670,5427
2020-02-06,1.5645246329043957e-06,9729.801758,12292,5386
2020-02-07,1.9208639661324226e-06,9795.943359,10780,4692
2020-02-08,8.288505500742077e-06,9865.119141,9588,3954
2020-02-09,1.0739490351618738e-06,10116.673828,13297,5465
2020-02-10,1.4869727712870304e-06,9856.611328,11748,5279
2020-02-11,1.2851666455320062e-05,10208.236328,12629,5293
2020-02-12,2.840471913319377e-06,10326.054688,12373,5425
2020-02-13,-5.126557947625518e-07,10214.379883,12216,5112
2020-02-14,7.002185616080696e-06,10312.116211,12102,4776
2020-02-15,7.197170196940231e-07,9889.424805,10476,4297
2020-02-16,1.2078300856989573e-06,9934.433594,10639,3986
2020-02-17,2.2482425404386285e-06,9690.142578,11664,5029
2020-02-18,1.932400799456046e-06,10141.996094,12296,5285
2020-02-19,6.716816757739782e-06,9633.386719,12946,5467
2020-02-20,8.014400363735029e-07,9608.475586,12983,5545
2020-02-21,-4.159553633347739e-06,9686.441406,11474,4896
2020-02-22,1.286112738481311e-05,9663.181641,8867,3548
2020-02-23,-4.997101029790011e-07,9924.515625,9044,3558
2020-02-24,9.723485553079643e-06,9650.174805,12270,4840
2020-02-25,-2.153825884202342e-05,9341.705078,11810,4782
2020-02-26,1.5494471758989782e-06,8820.522461,13171,5918
2020-02-27,6.567560093420638e-07,8784.494141,12504,5326
2020-02-28,4.00134790954064e-08,8672.455078,11948,4596
2020-02-29,1.1401196072369881e-06,8599.508789,9152,3704
2020-03-01,-1.0610931487048061e-05,8562.454102,8751,3441
2020-03-02,7.632095263273882e-06,8869.669922,10940,4900
2020-03-03,2.060711267125894e-06,8787.786133,11029,5013
2020-03-04,1.4266897550692323e-06,8755.246094,12258,5548
2020-03-05,-2.5200037783066967e-08,9078.762695,12529,5529
2020-03-06,9.207811325471819e-07,9122.545898,10872,4771
2020-03-07,1.704020035538854e-06,8909.954102,9215,4136
2020-03-08,-3.619600031613172e-06,8108.116211,9690,3961
2020-03-09,-9.085158540304727e-07,7923.644531,13959,6449
2020-03-10,-6.01784708224715e-07,7909.729492,11542,5309
2020-03-11,4.037496286874461e-06,7911.430176,10950,4989
2020-03-12,4.5468795696391577e-07,4970.788086,20266,8875
2020-03-13,-8.213814781913333e-06,5563.707031,21172,8852
2020-03-14,-3.2896455820394245e-05,5200.366211,11478,4531
2020-03-15,6.449850293099637e-07,5392.314941,10349,4418
2020-03-16,1.5128035623693162e-05,5014.47998,13247,6015
2020-03-17,4.314040421911486e-06,5225.629395,11803,5260
2020-03-18,1.869889195829324e-05,5238.438477,11963,5527
2020-03-19,-3.5293781371545334e-06,6191.192871,12797,5786
2020-03-20,1.6542271904798816e-06,6198.77832,12920,5703
2020-03-21,2.256339327428864e-05,6185.066406,9774,4264
2020-03-22,7.069931342455605e-07,5830.254883,9226,4057
2020-03-23,1.686262673621132e-06,6416.314941,12094,5570
2020-03-24,1.488377567077199e-05,6734.803711,11567,5088
2020-03-25,-4.583841247273031e-07,6681.062988,11257,4807
2020-03-26,-1.834279672820589e-05,6716.44043,11477,4746
2020-03-27,8.705317220862097e-07,6469.79834,10973,4762
2020-03-28,5.034586770870884e-07,6242.193848,9579,3809
2020-03-29,-5.236608722230927e-06,5922.042969,9114,3782
2020-03-30,2.137835673423041e-06,6429.841797,11157,4853
2020-03-31,-1.0508954959583065e-07,6438.644531,10907,4562
2020-04-01,4.047620715607163e-07,6606.776367,11455,4921
2020-04-02,2.0313689958468187e-06,6793.624512,12047,5239
2020-04-03,1.3591126299720385e-06,6733.387207,12467,5039
2020-04-04,-2.6740494258704362e-06,6867.527344,9994,3980
2020-04-05,-2.2116129645536927e-07,6791.129395,10012,3697
2020-04-06,-1.5869820836250638e-05,7271.78125,12486,5091
2020-04-07,2.5888611817831356e-05,7176.414551,12234,5232
2020-04-08,9.012982573676205e-06,7334.098633,11389,4720
2020-04-09,-3.972428317815624e-06,7302.089355,11637,5175
2020-04-10,9.472071987228775e-06,6865.493164,11882,5064
2020-04-11,8.748162713900244e-06,6859.083008,9418,3619
2020-04-12,2.8375174836932792e-05,6971.091797,9719,3845
2020-04-13,6.997099142170211e-07,6845.037598,11630,4968
2020-04-14,1.0600702164011453e-06,6842.427734,11762,5026
2020-04-15,3.0348160799623532e-06,6642.109863,11577,4890
2020-04-16,1.368040469304894e-06,7116.804199,12160,5212
2020-04-17,6.541705863978636e-06,7096.18457,11135,4724
2020-04-18,1.943457561053494e-06,7257.665039,10435,4480
2020-04-19,4.0944574785749935e-06,7189.424805,9828,4120
2020-04-20,-3.745390855052856e-06,6881.958496,12814,5643
2020-04-21,7.769218929089185e-07,6880.323242,12672,5464
