date,metrics,Close,count,filter_count
2020-01-01,1579,7200.174316,8317,3658
2020-01-02,1209,6985.470215,9861,4245
2020-01-03,2348,7344.884277,10988,4687
2020-01-04,2246,7410.656738,9404,4132
2020-01-05,1698,7411.317383,9094,3821
2020-01-06,2101,7769.219238,10978,4891
2020-01-07,2511,8163.692383,11281,4842
2020-01-08,2357,8079.862793,11604,5104
2020-01-09,1357,7879.071289,10331,4368
2020-01-10,1510,8166.554199,10331,4228
2020-01-11,1727,8037.537598,8886,3628
2020-01-12,1770,8192.494141,8516,3364
2020-01-13,2259,8144.194336,10276,4477
2020-01-14,3490,8827.764648,13388,5755
2020-01-15,2334,8807.010742,11642,5069
2020-01-16,1882,8723.786133,11060,4510
2020-01-17,2081,8929.038086,10704,4435
2020-01-18,1645,8942.808594,9410,3680
2020-01-19,1428,8706.245117,10395,4110
2020-01-20,1663,8657.642578,10895,4472
2020-01-21,2035,8745.894531,10665,4417
2020-01-22,2177,8680.875977,10451,4461
2020-01-23,1043,8406.515625,10901,4758
2020-01-24,1239,8445.43457,10795,4649
2020-01-25,1248,8367.847656,8962,3657
2020-01-26,1658,8596.830078,8960,3734
2020-01-27,2338,8909.819336,11965,5292
2020-01-28,2370,9358.589844,12504,5659
2020-01-29,2528,9316.629883,12465,5389
2020-01-30,2089,9508.993164,11118,4801
2020-01-31,2052,9350.529297,11258,5016
2020-02-01,1716,9392.875,8636,3685
2020-02-02,2390,9344.365234,13107,4462
2020-02-03,2405,9293.521484,12220,5106
2020-02-04,1963,9180.962891,12110,5169
2020-02-05,2870,9613.423828,12670,5427
2020-02-06,2824,9729.801758,12292,5386
2020-02-07,2608,9795.943359,10780,4692
2020-02-08,1955,9865.119141,9588,3954
2020-02-09,3513,10116.673828,13297,5465
2020-02-10,2072,9856.611328,11748,5279
2020-02-11,2368,10208.236328,12629,5293
2020-02-12,2912,10326.054688,12373,5425
2020-02-13,1762,10214.379883,12216,5112
2020-02-14,2033,10312.116211,12102,4776
2020-02-15,1451,9889.424805,10476,4297
2020-02-16,1284,9934.433594,10639,3986
2020-02-17,905,9690.142578,11664,5029
2020-02-18,2167,10141.996094,12296,5285
2020-02-19,2343,9633.386719,12946,5467
2020-02-20,1009,9608.475586,12983,5545
2020-02-21,1434,9686.441406,11474,4896
2020-02-22,1137,9663.181641,8867,3548
2020-02-23,1625,9924.515625,9044,3558
2020-02-24,1016,9650.174805,12270,4840
2020-02-25,869,9341.705078,11810,4782
2020-02-26,913,8820.522461,13171,5918
2020-02-27,1118,8784.494141,12504,5326
2020-02-28,819,8672.455078,11948,4596
2020-02-29,951,8599.508789,9152,3704
2020-03-01,695,8562.454102,8751,3441
2020-03-02,1751,8869.669922,10940,4900
2020-03-03,1711,8787.786133,11029,5013
2020-03-04,2141,8755.246094,12258,5548
2020-03-05,2968,9078.762695,12529,5529
2020-03-06,2421,9122.545898,10872,4771
2020-03-07,1385,8909.954102,9215,4136
2020-03-08,478,8108.116211,9690,3961
2020-03-09,245,7923.644531,13959,6449
2020-03-10,1683,7909.729492,11542,5309
2020-03-11,1297,7911.430176,10950,4989
2020-03-12,-1048,4970.788086,20266,8875
2020-03-13,-294,5563.707031,21172,8852
2020-03-14,650,5200.366211,11478,4531
2020-03-15,905,5392.314941,10349,4418
2020-03-16,655,5014.47998,13247,6015
2020-03-17,1842,5225.629395,11803,5260
2020-03-18,1614,5238.438477,11963,5527
2020-03-19,2301,6191.192871,12797,5786
2020-03-20,2562,6198.77832,12920,5703
2020-03-21,1614,6185.066406,9774,4264
2020-03-22,1494,5830.254883,9226,4057
2020-03-23,1760,6416.314941,12094,5570
2020-03-24,2414,6734.803711,11567,5088
2020-03-25,1602,6681.062988,11257,4807
2020-03-26,1250,6716.44043,11477,4746
2020-03-27,1542,6469.79834,10973,4762
2020-03-28,828,6242.193848,9579,3809
2020-03-29,874,5922.042969,9114,3782
2020-03-30,1877,6429.841797,11157,4853
2020-03-31,1642,6438.644531,10907,4562
2020-04-01,1330,6606.776367,11455,4921
2020-04-02,2547,6793.624512,12047,5239
2020-04-03,2131,6733.387207,12467,5039
2020-04-04,1511,6867.527344,9994,3980
2020-04-05,1593,6791.129395,10012,3697
2020-04-06,2530,7271.78125,12486,5091
2020-04-07,2531,7176.414551,12234,5232
2020-04-08,1983,7334.098633,11389,4720
2020-04-09,2116,7302.089355,11637,5175
2020-04-10,1502,6865.493164,11882,5064
2020-04-11,1322,6859.083008,9418,3619
2020-04-12,1480,6971.091797,9719,3845
2020-04-13,1382,6845.037598,11630,4968
2020-04-14,1873,6842.427734,11762,5026
2020-04-15,1560,6642.109863,11577,4890
2020-04-16,2349,7116.804199,12160,5212
2020-04-17,2308,7096.18457,11135,4724
2020-04-18,2250,7257.665039,10435,4480
2020-04-19,1684,7189.424805,9828,4120
2020-04-20,1812,6881.958496,12814,5643
2020-04-21,1342,6880.323242,12672,5464
2020-04-22,2104,7117.20752,11691,4903
2020-04-23,3266,7429.724609,13538,5805
